id;libelle;responsable;contact
1;Forks Rapids;Outdoors Internal;New Bhutanese orange
2;Reactive Tools;Object-based Assistant;Agent synthesizing
3;Soap Central Chair;Liberian District Car;Missouri Officer
4;Home deposit TCP;program;Internal
5;pink;Concrete deploy;strategy Unbranded
6;Sausages parallelism Automotive;Agent;Tasty compelling
7;red;Hampshire Steel Andorra;multi-byte Avon Pakistan
8;Oregon;Plastic tan;protocol Borders
9;Utah mobile Computer;Assistant deliverables Facilitator;invoice XSS
10;mint;program;Right-sized
