id;libelle;responsable;contact
1;infrastructure Reverse-engineered;didactic New;Operations mobile
2;disintermediate Toys;Analyst Secured;solutions
3;program Executive;payment Expanded Bike;convergence Islands, Bacon
4;redundant Florida;Ergonomic;auxiliary Books Land
5;Canada bifurcated;Paradigm;real-time navigating local
6;matrix;Soap Tasty;Assistant Iraq payment
7;Incredible;Martinique Gorgeous;Sleek SDD Idaho
8;National Pennsylvania Chicken;Tools Zloty Multi-layered;haptic
9;Rubber magenta Kip;alarm archive virtual;architecture Intranet
10;interfaces mobile Utah;quantify Borders;Islands
