id;libelle;responsable;contact
1;ROI overriding;Mississippi China digital;AGP
2;generate;forecast;Rubber invoice Switzerland
3;Human mobile Sleek;Zloty;Pizza port
4;RAM;Incredible portals;Crossroad
5;hack generate Bedfordshire;system-worthy initiatives;Bhutan Junctions Fresh
6;RSS Kids withdrawal;capability Brand;primary
7;Plastic vortals;bluetooth;Reverse-engineered
8;Concrete Bedfordshire sensor;backing copy Refined;area
9;Pizza Legacy;deliverables Walk Applications;Pennsylvania Kip Metal
10;Kansas quantify RAM;Fall;American Digitized invoice
